1   1   25.0   1.008   1   0.0788
2   1   25.0   2.014   2   0.1422
3   1   25.0   3.016   3   0.085099
4   2   25.0   3.016   3   0.0534
5   13  .024   26.98   26  0.07
6   13  .031   26.98   26  0.09
7   6   0.0883    12.01   12  0.0883
8   1000.   1000   1000   1000  100
9   1000.   1000   1000   1000  1000
10  1000.   1000   1000   1000  1000
11  0.0723  3.986 1.0079   1  0.2882
12  1000.   1000   1000   1000  1000 
13  1000.   1000   1000   1000  1000
14  1000.   1000  1000  1000    1000
15  0.1670  3.994  2.014   2    0.667
16  1000.   1000   1000   1000  1000
17  2.68    0.1962  26.982  27  0.5259
18  2.80    0.02654 26.982   27  0.0743
19  2.80    0.0246  26.982   27  0.0659
20  1000    1000   1000   1000  1000



ID   z   length(cm)  g/mol   A	 thick(g/cm2)	  
1 H 
2 D2
3 H3
4 He3
7 c12











